Index         Status  Sats  RTC-date  RTC-time  FIX-date      FIX-time   Delta(s)     Latitude    Longitude  Altitude(m)    HDOP        eRes  Temperature(C)  Voltage(V)
    1          Valid   5/5  22/04/17  13:00:08  22/04/17  13:00:08.095      0.095     23.91219   -106.96085         1.53     2.7         0.7             0.0        0.00
    2          Valid   5/5  22/04/18  13:00:10  22/04/18  13:00:05.996     -4.004     23.91531   -106.96167       -24.10     3.2         0.7             0.0        0.00
    3          Valid   6/6  22/04/20  12:00:05  22/04/20  11:59:54.374    -10.626     23.91904   -106.96185       -24.46     1.2         0.5             0.0        0.00
    4          Valid   7/7  22/04/20  12:20:04  22/04/20  12:19:53.327    -10.673     23.91499   -106.96128       -25.46     1.2         0.8             0.0        0.00
    5          Valid   5/5  22/04/20  12:40:08  22/04/20  12:39:57.264    -10.736     23.91533   -106.96156       -24.48     2.7         0.6             0.0        0.00
    6          Valid   7/7  22/04/20  13:00:04  22/04/20  12:59:53.215    -10.785     23.91503   -106.96140       -24.64     1.1         1.6             0.0        0.00
    7          Valid   6/6  22/04/20  13:20:04  22/04/20  13:19:53.155    -10.845     23.91507   -106.96138       -25.85     2.3         0.7             0.0        0.00
    8          Valid   8/8  22/04/20  13:40:06  22/04/20  13:39:55.099    -10.901     23.91504   -106.96140       -26.68     1.1         0.7             0.0        0.00
    9          Valid   7/7  22/04/20  14:00:04  22/04/20  13:59:53.050    -10.950     23.91504   -106.96144       -26.16     1.7         0.6             0.0        0.00
   10          Valid   6/6  22/04/20  14:20:07  22/04/20  14:19:55.991    -11.009     23.91504   -106.96147       -27.55     2.2         0.7             0.0        0.00
   11          Valid   6/6  22/04/20  14:40:04  22/04/20  14:39:52.920    -11.080     23.91506   -106.96151       -27.33     6.4         0.6             0.0        0.00
   12          Valid   7/7  22/04/20  15:00:04  22/04/20  14:59:52.839    -11.161     23.91502   -106.96140       -28.16     1.5         0.5             0.0        0.00
   13          Valid   7/8  22/04/20  15:20:04  22/04/20  15:19:52.844    -11.156     23.91502   -106.96140       -28.57     1.1         1.1             0.0        0.00
   14          Valid   7/7  22/04/20  15:40:04  22/04/20  15:39:52.741    -11.259     23.91500   -106.96133       -28.65     1.1         0.3             0.0        0.00
   15          Valid   7/8  22/04/20  16:00:04  22/04/20  15:59:52.691    -11.309     23.91503   -106.96133       -30.42     1.1         0.7             0.0        0.00
   16          Valid   7/8  22/04/20  16:20:04  22/04/20  16:19:52.681    -11.319     23.91505   -106.96141       -30.87     1.4         0.8             0.0        0.00
   17          Valid   6/7  22/04/20  16:40:04  22/04/20  16:39:52.654    -11.346     23.91503   -106.96126       -28.65     2.6         0.9             0.0        0.00
   18          Valid   7/8  22/04/20  17:00:04  22/04/20  16:59:52.598    -11.402     23.91502   -106.96142       -29.30     1.6         1.5             0.0        0.00
   19          Valid   8/9  22/04/20  17:20:04  22/04/20  17:19:52.554    -11.446     23.91503   -106.96134       -27.44     1.8         0.5             0.0        0.00
   20          Valid   4/4  22/04/20  17:40:11  22/04/20  17:39:59.002    -11.998     23.91484   -106.96108       -27.44     7.2         0.4             0.0        0.00
   21          Valid   7/8  22/04/20  18:00:04  22/04/20  18:00:03.462     -0.538     23.91505   -106.96137       -28.91     1.5         0.6             0.0        0.00
   22          Valid   6/7  22/04/20  18:20:05  22/04/20  18:20:04.406     -0.594     23.91501   -106.96134       -28.35     2.5         0.4             0.0        0.00
   23          Valid   7/8  22/04/20  18:40:04  22/04/20  18:40:03.376     -0.624     23.91503   -106.96139       -18.16     1.6         0.8             0.0        0.00
   24          Valid   7/9  22/04/20  19:00:04  22/04/20  19:00:03.341     -0.659     23.91521   -106.96149       -23.37     1.1         1.5             0.0        0.00
   25          Valid   7/9  22/04/20  19:20:04  22/04/20  19:20:03.300     -0.700     23.91506   -106.96138       -28.57     1.1         0.6             0.0        0.00
   26          Valid   5/7  22/04/20  19:40:04  22/04/20  19:40:03.302     -0.698     23.91520   -106.96121       -27.98    13.7         0.4             0.0        0.00
   27          Valid   7/8  22/04/20  20:00:04  22/04/20  20:00:03.230     -0.770     23.91525   -106.96149       -21.36     1.3         0.8             0.0        0.00
   28          Valid   5/6  22/04/20  20:20:04  22/04/20  20:20:03.178     -0.822     23.91524   -106.96153       -21.82     3.0         0.4             0.0        0.00
   29          Valid   5/7  22/04/20  20:40:04  22/04/20  20:40:03.084     -0.916     23.91478   -106.96137       -24.29    10.7         0.6             0.0        0.00
   30          Valid   4/6  22/04/20  21:00:04  22/04/20  21:00:03.098     -0.902     23.91510   -106.96144       -24.29     4.0         0.2             0.0        0.00
   31          Valid   7/9  22/04/20  21:20:04  22/04/20  21:20:03.055     -0.945     23.91476   -106.96111       -26.05     1.2         0.6             0.0        0.00
   32          Valid   6/8  22/04/20  21:40:04  22/04/20  21:40:02.974     -1.026     23.91518   -106.96154       -26.46     1.4         1.6             0.0        0.00
   33          Valid   5/7  22/04/20  22:00:05  22/04/20  22:00:03.967     -1.033     23.91502   -106.96141       -26.40     5.4         0.3             0.0        0.00
   34          Valid   6/8  22/04/20  22:20:05  22/04/20  22:20:03.890     -1.110     23.91528   -106.96163       -26.72     3.5         0.4             0.0        0.00
   35          Valid   5/6  22/04/20  22:40:05  22/04/20  22:40:03.861     -1.139     23.91501   -106.96128       -24.48     2.0         0.8             0.0        0.00
   36          Valid   5/6  22/04/20  23:00:04  22/04/20  23:00:02.816     -1.184     23.91505   -106.96141       -24.74     2.5         0.5             0.0        0.00
   37          Valid   6/7  22/04/20  23:20:04  22/04/20  23:20:02.764     -1.236     23.91505   -106.96135       -25.69     2.1         0.6             0.0        0.00
   38          Valid   5/6  22/04/20  23:40:05  22/04/20  23:40:03.713     -1.287     23.91504   -106.96141       -26.31     2.6         0.7             0.0        0.00
   39          Valid   8/9  22/04/21  00:00:04  22/04/21  00:00:02.667     -1.333     23.91504   -106.96135       -26.92     1.0         1.0             0.0        0.00
   40          Valid   8/9  22/04/21  00:20:04  22/04/21  00:20:02.616     -1.384     23.91503   -106.96138       -26.48     1.1         1.2             0.0        0.00
   41          Valid   8/9  22/04/21  00:40:04  22/04/21  00:40:02.570     -1.430     23.91505   -106.96143       -27.60     1.1         1.2             0.0        0.00
   42          Valid   8/9  22/04/21  01:00:04  22/04/21  01:00:02.479     -1.521     23.91503   -106.96140       -27.52     1.2         0.6             0.0        0.00
   43          Valid   9/9  22/04/21  01:20:04  22/04/21  01:20:02.427     -1.573     23.91503   -106.96135       -28.30     1.0         0.6             0.0        0.00
   44          Valid   6/6  22/04/21  01:40:04  22/04/21  01:40:02.374     -1.626     23.91506   -106.96144       -21.50     2.3         0.6             0.0        0.00
   45          Valid   6/6  22/04/21  02:00:04  22/04/21  02:00:02.321     -1.679     23.91501   -106.96136       -28.59     1.8         0.5             0.0        0.00
   46          Valid   7/7  22/04/21  02:20:09  22/04/21  02:20:07.267     -1.733     23.91991   -106.96266       -24.25     2.0         1.0             0.0        0.00
   47          Valid   4/4  22/04/21  02:40:07  22/04/21  02:40:05.216     -1.784     23.91863   -106.96156       -24.25     5.8         0.2             0.0        0.00
   48          Valid   5/5  22/04/21  03:00:07  22/04/21  03:00:05.162     -1.838     23.91931   -106.96207       -23.82     2.7         0.4             0.0        0.00
   49          Valid   6/6  22/04/21  03:20:08  22/04/21  03:20:06.117     -1.883     23.91878   -106.96165       -32.52     2.9         0.9             0.0        0.00
