Index         Status  Sats  RTC-date  RTC-time  FIX-date      FIX-time   Delta(s)     Latitude    Longitude  Altitude(m)    HDOP        eRes  Temperature(C)  Voltage(V)
    1          Valid   7/7  22/04/27  13:00:04  22/04/27  12:59:58.686     -5.314     23.91226   -106.96098       -28.18     1.2         0.5             0.0        0.00
    2          Valid   8/8  22/04/29  12:00:11  22/04/29  11:59:58.805    -12.195     23.91978   -106.96477       -25.20     1.0         2.5             0.0        0.00
    3          Valid   7/7  22/04/29  12:20:04  22/04/29  12:20:04.335      0.335     23.91417   -106.96178       -24.60     1.0         0.4             0.0        0.00
    4          Valid   6/6  22/04/29  12:40:07  22/04/29  12:40:07.251      0.251     23.91435   -106.96200       -30.00     1.5         1.0             0.0        0.00
    5          Valid   7/7  22/04/29  13:00:05  22/04/29  13:00:05.226      0.226     23.91458   -106.96201       -29.46     2.0         0.6             0.0        0.00
    6          Valid   7/7  22/04/29  13:20:07  22/04/29  13:20:07.184      0.184     23.91556   -106.96197       -29.21     1.7         0.5             0.0        0.00
    7          Valid   5/5  22/04/29  13:40:10  22/04/29  13:40:09.609     -0.391     23.91532   -106.96308       -28.96     2.7         0.3             0.0        0.00
    8          Valid   6/7  22/04/29  14:00:04  22/04/29  14:00:04.091      0.091     23.91505   -106.96357       -28.84     5.4         0.7             0.0        0.00
    9          Valid   6/7  22/04/29  14:20:05  22/04/29  14:20:05.030      0.030     23.91388   -106.96142       -29.00     2.7         0.6             0.0        0.00
   10          Valid   6/7  22/04/29  14:40:04  22/04/29  14:40:03.995     -0.005     23.91560   -106.96162       -27.25     1.2         0.8             0.0        0.00
   11          Valid   6/6  22/04/29  15:00:05  22/04/29  15:00:04.950     -0.050     23.91556   -106.96194       -31.03     1.5         0.7             0.0        0.00
   12          Valid   8/9  22/04/29  15:20:04  22/04/29  15:20:03.909     -0.091     23.91356   -106.96225       -31.69     1.1         1.3             0.0        0.00
   13          Valid   6/7  22/04/29  15:40:04  22/04/29  15:40:03.814     -0.186     23.91341   -106.96224       -31.31     1.7         0.4             0.0        0.00
   14          Valid   6/6  22/04/29  16:00:06  22/04/29  16:00:05.835     -0.165     23.91356   -106.96162       -33.23     2.5         1.9             0.0        0.00
   15          Valid   6/7  22/04/29  16:20:05  22/04/29  16:20:04.787     -0.213     23.91370   -106.96163       -29.03     2.0         0.9             0.0        0.00
   16          Valid   6/7  22/04/29  16:40:07  22/04/29  16:40:06.697     -0.303     23.91345   -106.96169       -29.26     2.3         1.1             0.0        0.00
   17          Valid   8/9  22/04/29  17:00:07  22/04/29  17:00:06.702     -0.298     23.91431   -106.96182       -32.67     1.6         1.0             0.0        0.00
   18          Valid   8/8  22/04/29  17:20:09  22/04/29  17:20:08.662     -0.338     23.91377   -106.96174       -29.59     1.2         1.7             0.0        0.00
   19          Valid   7/8  22/04/29  17:40:04  22/04/29  17:40:03.627     -0.373     23.91360   -106.96173       -30.17     1.6         1.4             0.0        0.00
   20          Valid   5/6  22/04/29  18:00:05  22/04/29  18:00:04.547     -0.453     23.91371   -106.96184       -26.21     3.0         0.9             0.0        0.00
   21          Valid   6/7  22/04/29  18:20:04  22/04/29  18:20:03.550     -0.450     23.91388   -106.96180       -32.04     1.4         1.1             0.0        0.00
   22          Valid   7/9  22/04/29  18:40:07  22/04/29  18:40:06.499     -0.501     23.92005   -106.96526       -26.54     1.2         1.5             0.0        0.00
   23          Valid   7/9  22/04/29  19:00:04  22/04/29  19:00:03.448     -0.552     23.91423   -106.96176       -32.25     1.5         1.0             0.0        0.00
   24          Valid   6/8  22/04/29  19:20:04  22/04/29  19:20:03.388     -0.612     23.91421   -106.96173       -28.72     3.8         0.5             0.0        0.00
   25          Valid   7/9  22/04/29  19:40:04  22/04/29  19:40:03.367     -0.633     23.91421   -106.96178       -28.72     1.5         1.2             0.0        0.00
   26          Valid   6/8  22/04/29  20:00:04  22/04/29  20:00:03.336     -0.664     23.91422   -106.96175       -28.43     1.5         0.3             0.0        0.00
   27          Valid   6/8  22/04/29  20:20:04  22/04/29  20:20:03.326     -0.674     23.91422   -106.96178       -28.98     1.3         0.4             0.0        0.00
   28          Valid   4/6  22/04/29  20:40:04  22/04/29  20:40:03.241     -0.759     23.91425   -106.96170       -28.98     4.2         0.1             0.0        0.00
   29          Valid   5/7  22/04/29  21:00:04  22/04/29  21:00:03.187     -0.813     23.91421   -106.96176       -28.98     2.0         0.2             0.0        0.00
   30          Valid   5/7  22/04/29  21:20:04  22/04/29  21:20:03.222     -0.778     23.91419   -106.96179       -29.23     5.1         0.4             0.0        0.00
   31          Valid   6/7  22/04/29  21:40:04  22/04/29  21:40:03.172     -0.828     23.91422   -106.96178       -29.75     1.5         0.5             0.0        0.00
   32          Valid   6/7  22/04/29  22:00:04  22/04/29  22:00:03.118     -0.882     23.91420   -106.96177       -27.47     1.5         1.1             0.0        0.00
   33          Valid   5/6  22/04/29  22:20:04  22/04/29  22:20:03.073     -0.927     23.91421   -106.96179       -27.47     2.5         0.2             0.0        0.00
   34          Valid   5/6  22/04/29  22:40:04  22/04/29  22:40:03.030     -0.970     23.91422   -106.96181       -27.62     2.3         0.4             0.0        0.00
   35          Valid   6/6  22/04/29  23:00:04  22/04/29  23:00:02.979     -1.021     23.91422   -106.96183       -22.58     1.6         0.7             0.0        0.00
   36          Valid   8/8  22/04/29  23:20:04  22/04/29  23:20:02.938     -1.062     23.91421   -106.96181       -24.96     1.0         1.2             0.0        0.00
   37          Valid   8/8  22/04/29  23:40:06  22/04/29  23:40:04.908     -1.092     23.91422   -106.96174       -34.62     0.9         0.8             0.0        0.00
   38          Valid   8/8  22/04/30  00:00:04  22/04/30  00:00:02.849     -1.151     23.91421   -106.96175       -33.44     1.0         1.0             0.0        0.00
   39          Valid   8/8  22/04/30  00:20:04  22/04/30  00:20:02.826     -1.174     23.91421   -106.96178       -32.28     1.0         0.7             0.0        0.00
   40          Valid   8/8  22/04/30  00:40:04  22/04/30  00:40:02.776     -1.224     23.91421   -106.96180       -32.68     1.0         0.6             0.0        0.00
   41          Valid   6/6  22/04/30  01:00:09  22/04/30  01:00:07.697     -1.303     23.91420   -106.96175       -24.74     1.6         1.4             0.0        0.00
   42          Valid   7/7  22/04/30  01:20:04  22/04/30  01:20:02.639     -1.361     23.91420   -106.96178       -28.57     1.6         0.5             0.0        0.00
   43          Valid   7/7  22/04/30  01:40:04  22/04/30  01:40:02.596     -1.404     23.91419   -106.96180       -26.86     1.5         0.8             0.0        0.00
   44          Valid   4/4  22/04/30  02:00:11  22/04/30  02:00:09.002     -1.998     23.91421   -106.96176       -26.86     3.8         0.1             0.0        0.00
   45          Valid   5/5  22/04/30  02:20:10  22/04/30  02:20:08.509     -1.491     23.91419   -106.96176       -27.30     1.3         0.6             0.0        0.00
   46  NotEnoughSats   0/1  22/04/30  02:40:07                             -1.670                                                                        0.0        0.00
   47          Valid   6/6  22/04/30  03:00:11  22/04/30  03:00:09.394     -1.606     23.91428   -106.96182        -1.25     1.2         2.4             0.0        0.00
   48          Valid   7/7  22/04/30  03:20:06  22/04/30  03:20:04.350     -1.650     23.91877   -106.96250       -28.08     1.3         3.2             0.0        0.00
   49          Valid   6/6  22/04/30  03:40:05  22/04/30  03:40:03.319     -1.681     23.91887   -106.96282       -29.26     1.7         1.1             0.0        0.00
   50          Valid   7/7  22/04/30  04:00:07  22/04/30  04:00:05.280     -1.720     23.91888   -106.96276       -30.23     1.5         1.0             0.0        0.00
   51          Valid   5/5  22/04/30  04:20:11  22/04/30  04:20:08.593     -2.407     23.91795   -106.96160       -30.08     3.2         0.3             0.0        0.00
   52          Valid   7/7  22/04/30  04:40:04  22/04/30  04:40:02.166     -1.834     23.91208   -106.96754       -24.09     1.4         0.7             0.0        0.00
   53          Valid   8/8  22/04/30  05:00:07  22/04/30  05:00:05.110     -1.890     23.91758   -106.96136       -19.12     1.2         0.9             0.0        0.00
   54          Valid   6/6  22/04/30  05:20:05  22/04/30  05:20:03.081     -1.919     23.91764   -106.96139       -22.93     1.2         0.6             0.0        0.00
   55          Valid   8/8  22/04/30  05:40:04  22/04/30  05:40:02.029     -1.971     23.91794   -106.96156       -23.76     1.0         0.9             0.0        0.00
   56          Valid   9/9  22/04/30  06:00:06  22/04/30  06:00:03.979     -2.021     23.91776   -106.96145       -24.53     0.9         1.5             0.0        0.00
   57          Valid   8/8  22/04/30  06:20:04  22/04/30  06:20:01.946     -2.054     23.91795   -106.96149       -22.96     1.7         0.8             0.0        0.00
   58          Valid   6/6  22/04/30  06:40:04  22/04/30  06:40:01.864     -2.136     23.91795   -106.96152       -22.83     2.3         0.9             0.0        0.00
   59          Valid   6/6  22/04/30  07:00:05  22/04/30  07:00:02.811     -2.189     23.91792   -106.96150       -22.34     2.5         0.5             0.0        0.00
   60          Valid   7/7  22/04/30  07:20:05  22/04/30  07:20:02.767     -2.233     23.91536   -106.96202       -22.11     1.3         2.1             0.0        0.00
   61          Valid   7/7  22/04/30  07:40:04  22/04/30  07:40:01.738     -2.262     23.91551   -106.96197       -23.94     2.8         0.6             0.0        0.00
   62          Valid   6/6  22/04/30  08:00:07  22/04/30  08:00:04.686     -2.314     23.91532   -106.96197       -23.12     1.3         0.3             0.0        0.00
   63          Valid   8/8  22/04/30  08:20:09  22/04/30  08:20:06.638     -2.362     23.91537   -106.96180       -24.05     1.1         0.5             0.0        0.00
   64          Valid   8/8  22/04/30  08:40:05  22/04/30  08:40:02.568     -2.432     23.91695   -106.96150       -25.09     0.9         0.7             0.0        0.00
   65          Valid   6/6  22/04/30  09:00:07  22/04/30  09:00:04.535     -2.465     23.91709   -106.96142       -23.39     2.1         0.7             0.0        0.00
   66          Valid   6/6  22/04/30  09:20:11  22/04/30  09:20:08.003     -2.997     23.91703   -106.96140       -24.23     2.5         1.2             0.0        0.00
   67          Valid   7/7  22/04/30  09:40:05  22/04/30  09:40:02.439     -2.561     23.91773   -106.96158       -26.04     1.1         0.7             0.0        0.00
   68          Valid   6/6  22/04/30  10:00:04  22/04/30  10:00:01.398     -2.602     23.91698   -106.96147       -26.85     3.8         0.4             0.0        0.00
   69          Valid   6/6  22/04/30  10:20:05  22/04/30  10:20:02.339     -2.661     23.91694   -106.96157       -28.37     2.4         0.9             0.0        0.00
   70          Valid   7/7  22/04/30  10:40:04  22/04/30  10:40:01.288     -2.712     23.91712   -106.96130       -26.44     2.0         0.5             0.0        0.00
   71          Valid   6/6  22/04/30  11:00:04  22/04/30  11:00:01.240     -2.760     23.91712   -106.96135       -25.36     2.7         0.5             0.0        0.00
   72          Valid   5/5  22/04/30  11:20:08  22/04/30  11:20:05.238     -2.762     23.91543   -106.96156       -25.37     1.4         0.2             0.0        0.00
   73          Valid   7/7  22/04/30  11:40:09  22/04/30  11:40:06.191     -2.809     23.91534   -106.96147       -24.59     1.0         0.8             0.0        0.00
   74          Valid   6/6  22/04/30  12:00:04  22/04/30  12:00:01.091     -2.909     23.91295   -106.96152       -25.23     1.3         1.1             0.0        0.00
   75          Valid   7/7  22/05/01  04:00:10  22/05/01  04:00:05.050     -4.950     23.94551   -106.97835       -25.32     1.9         0.7             0.0        0.00
   76          Valid   6/7  22/05/01  16:00:04  22/05/01  16:00:01.324     -2.676     23.91391   -106.96221       -25.01     1.8         0.9             0.0        0.00
   77          Valid   6/6  22/05/05  04:00:08  22/05/05  03:59:53.862    -14.138     23.93027   -106.97503       -25.40     1.8         0.4             0.0        0.00
   78          Valid   7/8  22/05/05  16:00:04  22/05/05  15:59:48.137    -15.863     23.92121   -106.96401       -30.72     1.6         0.6             0.0        0.00
   79          Valid   7/7  22/05/09  04:00:04  22/05/09  03:59:36.782    -27.218     23.93215   -106.97442       -30.00     1.5         1.1             0.0        0.00
   80          Valid   6/7  22/05/09  16:00:04  22/05/09  15:59:35.084    -28.916     23.91451   -106.96558       -27.64     1.9         0.8             0.0        0.00
   81          Valid   9/9  22/05/13  04:00:04  22/05/13  03:59:23.980    -40.020     23.93198   -106.97673       -27.29     1.0         1.2             0.0        0.00
