Index         Status  Sats  RTC-date  RTC-time  FIX-date      FIX-time   Delta(s)     Latitude    Longitude  Altitude(m)    HDOP        eRes  Temperature(C)  Voltage(V)
    1          Valid   9/9  22/05/03  01:00:06  22/05/03  01:00:07.265      1.265     23.91231   -106.96098       -24.11     1.0         1.5             0.0        0.00
    2          Valid   7/8  22/05/05  12:00:11  22/05/05  12:00:02.655     -8.345     23.88008   -106.93408        40.84     1.1        16.4             0.0        0.00
    3          Valid   6/6  22/05/05  12:20:05  22/05/05  12:20:05.173      0.173     23.91396   -106.96082       -24.67     1.4         0.8             0.0        0.00
    4          Valid   7/7  22/05/05  12:40:04  22/05/05  12:40:04.066      0.066     23.91377   -106.96090       -27.36     1.2         0.7             0.0        0.00
    5          Valid   6/7  22/05/05  13:00:04  22/05/05  13:00:04.012      0.012     23.91380   -106.96093       -28.82     1.8         0.3             0.0        0.00
    6          Valid   6/6  22/05/05  13:20:04  22/05/05  13:20:03.949     -0.051     23.91380   -106.96097       -27.76     2.6         0.6             0.0        0.00
    7          Valid   6/6  22/05/05  13:40:04  22/05/05  13:40:03.954     -0.046     23.91377   -106.96088       -27.94     2.6         0.4             0.0        0.00
    8          Valid   6/7  22/05/05  14:00:04  22/05/05  14:00:03.847     -0.153     23.91377   -106.96088       -26.50     1.3         0.7             0.0        0.00
    9          Valid   6/7  22/05/05  14:20:04  22/05/05  14:20:03.790     -0.210     23.91378   -106.96095       -24.71     1.3         0.8             0.0        0.00
   10          Valid   7/8  22/05/05  14:40:04  22/05/05  14:40:03.739     -0.261     23.91379   -106.96091       -30.88     1.5         0.9             0.0        0.00
   11          Valid   6/6  22/05/05  15:00:04  22/05/05  15:00:03.703     -0.297     23.91379   -106.96092       -30.93     1.7         0.6             0.0        0.00
   12          Valid   7/8  22/05/05  15:20:04  22/05/05  15:20:03.688     -0.312     23.91379   -106.96092       -27.48     1.9         0.8             0.0        0.00
   13          Valid   7/8  22/05/05  15:40:04  22/05/05  15:40:03.594     -0.406     23.91378   -106.96088       -26.42     1.8         0.5             0.0        0.00
   14          Valid   5/6  22/05/05  16:00:04  22/05/05  16:00:03.567     -0.433     23.91379   -106.96091       -27.02     3.7         0.3             0.0        0.00
   15          Valid   6/7  22/05/05  16:20:04  22/05/05  16:20:03.543     -0.457     23.91377   -106.96093       -26.69     2.3         0.6             0.0        0.00
   16          Valid   8/9  22/05/05  16:40:04  22/05/05  16:40:03.522     -0.478     23.91378   -106.96095       -33.18     1.2         1.0             0.0        0.00
