Index         Status  Sats  RTC-date  RTC-time  FIX-date      FIX-time   Delta(s)     Latitude    Longitude  Altitude(m)    HDOP        eRes  Temperature(C)  Voltage(V)
    1          Valid   7/7  22/04/30  01:00:04  22/04/30  00:58:15.946   -108.054     23.91229   -106.96097       -27.22     1.4         1.0             0.0        0.00
    2          Valid   7/7  22/05/02  12:00:10  22/05/02  11:58:12.400   -117.600     23.92190   -106.96473       -29.86     1.0         0.7             0.0        0.00
    3          Valid   6/6  22/05/02  12:20:05  22/05/02  12:20:05.006      0.006     23.92229   -106.96401       -31.54     1.3         0.7             0.0        0.00
    4          Valid   6/6  22/05/02  12:40:05  22/05/02  12:40:04.931     -0.069     23.92229   -106.96402       -25.14     2.2         0.9             0.0        0.00
    5          Valid   7/7  22/05/02  13:00:04  22/05/02  13:00:03.887     -0.113     23.92234   -106.96402       -24.72     1.6         0.7             0.0        0.00
    6          Valid   6/6  22/05/02  13:20:04  22/05/02  13:20:03.832     -0.168     23.92231   -106.96401       -24.06     2.1         0.6             0.0        0.00
    7          Valid   6/6  22/05/02  13:40:04  22/05/02  13:40:03.721     -0.279     23.92229   -106.96404       -25.64     2.4         0.4             0.0        0.00
    8          Valid   7/8  22/05/02  14:00:04  22/05/02  14:00:03.670     -0.330     23.92229   -106.96400       -24.81     2.5         1.0             0.0        0.00
    9          Valid   5/6  22/05/02  14:20:06  22/05/02  14:20:05.609     -0.391     23.92232   -106.96409       -24.67     3.3         1.4             0.0        0.00
   10          Valid   7/8  22/05/02  14:40:04  22/05/02  14:40:03.615     -0.385     23.92228   -106.96397       -28.86     1.1         1.4             0.0        0.00
   11          Valid   7/8  22/05/02  15:00:04  22/05/02  15:00:03.565     -0.435     23.92230   -106.96403       -23.45     1.2         1.6             0.0        0.00
   12          Valid   7/8  22/05/02  15:20:05  22/05/02  15:20:04.519     -0.481     23.92228   -106.96403       -24.77     1.1         0.7             0.0        0.00
   13          Valid   8/9  22/05/02  15:40:06  22/05/02  15:40:05.491     -0.509     23.92230   -106.96399       -22.48     1.2         1.5             0.0        0.00
   14          Valid   8/9  22/05/02  16:00:04  22/05/02  16:00:03.452     -0.548     23.92229   -106.96406       -24.61     1.6         1.3             0.0        0.00
   15          Valid   7/8  22/05/02  16:20:04  22/05/02  16:20:03.407     -0.593     23.92231   -106.96399       -25.75     1.6         0.7             0.0        0.00
   16          Valid   5/6  22/05/02  16:40:05  22/05/02  16:40:04.365     -0.635     23.92213   -106.96393       -26.60     2.7         0.6             0.0        0.00
   17          Valid   6/7  22/05/02  17:00:05  22/05/02  17:00:04.298     -0.702     23.92232   -106.96395       -32.06     1.8         0.8             0.0        0.00
   18          Valid   6/6  22/05/02  17:20:04  22/05/02  17:20:03.290     -0.710     23.92231   -106.96398       -29.60     1.9         1.0             0.0        0.00
   19          Valid   8/9  22/05/02  17:40:06  22/05/02  17:40:05.240     -0.760     23.92231   -106.96405       -28.36     1.0         1.6             0.0        0.00
   20          Valid   6/7  22/05/02  18:00:04  22/05/02  18:00:03.205     -0.795     23.92230   -106.96400       -28.86     1.2         0.5             0.0        0.00
   21          Valid   7/9  22/05/02  18:20:07  22/05/02  18:20:06.178     -0.822     23.92232   -106.96403       -21.95     1.2         1.2             0.0        0.00
   22          Valid   5/7  22/05/02  18:40:05  22/05/02  18:40:04.106     -0.894     23.92215   -106.96415       -22.68    16.5         0.3             0.0        0.00
   23          Valid   5/7  22/05/02  19:00:04  22/05/02  19:00:03.083     -0.917     23.92218   -106.96418       -22.86    11.2         0.1             0.0        0.00
   24          Valid   7/9  22/05/02  19:20:04  22/05/02  19:20:03.100     -0.900     23.92229   -106.96406       -28.71     1.9         1.1             0.0        0.00
   25          Valid   7/9  22/05/02  19:40:04  22/05/02  19:40:03.028     -0.972     23.92231   -106.96404       -29.71     1.6         1.0             0.0        0.00
   26          Valid   7/9  22/05/02  20:00:04  22/05/02  20:00:03.006     -0.994     23.92232   -106.96407       -27.07     1.2         0.9             0.0        0.00
   27          Valid   5/7  22/05/02  20:20:04  22/05/02  20:20:03.013     -0.987     23.92230   -106.96402       -27.08     1.9         0.2             0.0        0.00
   28          Valid   7/8  22/05/02  20:40:06  22/05/02  20:40:04.980     -1.020     23.92233   -106.96401       -20.38     1.7         1.1             0.0        0.00
   29          Valid   5/7  22/05/02  21:00:08  22/05/02  21:00:06.891     -1.109     23.92216   -106.96399       -21.47     3.8         1.6             0.0        0.00
