Index         Status  Sats  RTC-date  RTC-time  FIX-date      FIX-time   Delta(s)     Latitude    Longitude  Altitude(m)    HDOP        eRes  Temperature(C)  Voltage(V)
    1          Valid   8/8  22/04/19  01:00:04  22/04/19  00:58:52.750    -71.250     23.91229   -106.96095       -29.63     1.0         0.5             0.0        0.00
    2          Valid   6/6  22/04/21  12:00:11  22/04/21  11:58:49.998    -81.002     23.90543   -106.95325       -29.41     1.2         0.5             0.0        0.00
    3          Valid   5/5  22/04/21  12:20:08  22/04/21  12:20:07.535     -0.465     23.90504   -106.95351       -29.34     2.1         0.4             0.0        0.00
    4          Valid   4/4  22/04/21  12:40:09  22/04/21  12:40:08.481     -0.519     23.90452   -106.95391       -29.34     3.6         0.0             0.0        0.00
    5          Valid   6/6  22/04/21  13:00:05  22/04/21  13:00:04.423     -0.577     23.90481   -106.95351       -23.96     2.7         0.9             0.0        0.00
    6          Valid   6/6  22/04/21  13:20:05  22/04/21  13:20:04.372     -0.628     23.90519   -106.95348       -24.62     2.5         0.4             0.0        0.00
    7          Valid   6/6  22/04/21  13:40:07  22/04/21  13:40:06.312     -0.688     23.90548   -106.95334       -24.89     2.0         0.4             0.0        0.00
    8          Valid   7/7  22/04/21  14:00:10  22/04/21  14:00:09.204     -0.796     23.90538   -106.95256       -27.36     1.6         0.5             0.0        0.00
    9          Valid   8/8  22/04/21  14:20:07  22/04/21  14:20:06.165     -0.835     23.90520   -106.95338       -35.96     1.5         2.4             0.0        0.00
   10  NotEnoughSats   2/3  22/04/21  14:40:11                             -0.950                                                                        0.0        0.00
   11          Valid   6/7  22/04/21  15:00:06  22/04/21  15:00:05.039     -0.961     23.90475   -106.95390       -33.35     1.7         0.8             0.0        0.00
   12          Valid   5/6  22/04/21  15:20:05  22/04/21  15:20:03.993     -1.007     23.90476   -106.95377       -33.25     1.8         0.4             0.0        0.00
   13          Valid   7/8  22/04/21  15:40:04  22/04/21  15:40:02.944     -1.056     23.90501   -106.95349       -30.92     1.8         1.4             0.0        0.00
   14          Valid   6/7  22/04/21  16:00:04  22/04/21  16:00:02.944     -1.056     23.90565   -106.95373       -30.28     1.7         1.2             0.0        0.00
   15          Valid   6/7  22/04/21  16:20:05  22/04/21  16:20:03.876     -1.124     23.90208   -106.95180       -18.64     2.2         1.0             0.0        0.00
   16          Valid   6/7  22/04/21  16:40:05  22/04/21  16:40:03.820     -1.180     23.90170   -106.95187       -24.48     3.1         0.5             0.0        0.00
   17          Valid   5/6  22/04/21  17:00:05  22/04/21  17:00:03.770     -1.230     23.90183   -106.95227       -31.92     2.6         0.7             0.0        0.00
   18          Valid   6/8  22/04/21  17:20:06  22/04/21  17:20:04.777     -1.223     23.90156   -106.95129       -28.72     1.6         0.9             0.0        0.00
   19          Valid   4/6  22/04/21  17:40:05  22/04/21  17:40:03.731     -1.269     23.90184   -106.95172       -28.72     9.7         0.1             0.0        0.00
   20          Valid   6/7  22/04/21  18:00:05  22/04/21  18:00:03.660     -1.340     23.90182   -106.95155       -29.42     2.1         0.4             0.0        0.00
   21          Valid   4/4  22/04/21  18:20:11  22/04/21  18:20:09.098     -1.902     23.90240   -106.95141       -29.42     3.5         0.1             0.0        0.00
   22          Valid   6/9  22/04/21  18:40:07  22/04/21  18:40:05.632     -1.368     23.90169   -106.95173       -27.70     1.7         0.9             0.0        0.00
   23          Valid   7/9  22/04/21  19:00:10  22/04/21  19:00:08.598     -1.402     23.90199   -106.95161       -29.61     1.2         1.4             0.0        0.00
   24          Valid   4/6  22/04/21  19:20:04  22/04/21  19:20:02.558     -1.442     23.90185   -106.95156       -29.61    11.8         0.1             0.0        0.00
   25          Valid   8/9  22/04/21  19:40:08  22/04/21  19:40:06.524     -1.476     23.90260   -106.95161       -24.58     1.1         1.1             0.0        0.00
   26          Valid   4/6  22/04/21  20:00:05  22/04/21  20:00:03.458     -1.542     23.90216   -106.95203       -24.58     7.4         0.1             0.0        0.00
   27          Valid   5/7  22/04/21  20:20:04  22/04/21  20:20:02.388     -1.612     23.90209   -106.95176       -23.82     2.2         0.9             0.0        0.00
   28          Valid   6/9  22/04/21  20:40:04  22/04/21  20:40:02.352     -1.648     23.90200   -106.95157       -25.97     2.0         0.9             0.0        0.00
   29          Valid   5/7  22/04/21  21:00:05  22/04/21  21:00:03.313     -1.687     23.90207   -106.95148       -26.33     3.0         1.1             0.0        0.00
   30          Valid   4/6  22/04/21  21:20:05  22/04/21  21:20:03.268     -1.732     23.90179   -106.95152       -26.33    16.7         0.4             0.0        0.00
   31          Valid   8/9  22/04/21  21:40:07  22/04/21  21:40:05.236     -1.764     23.90194   -106.95155       -32.59     1.1         1.1             0.0        0.00
   32          Valid   7/9  22/04/21  22:00:06  22/04/21  22:00:04.205     -1.795     23.90194   -106.95159       -34.35     1.4         1.1             0.0        0.00
   33          Valid   7/8  22/04/21  22:20:04  22/04/21  22:20:02.165     -1.835     23.90202   -106.95140       -31.03     1.2         0.6             0.0        0.00
   34          Valid   7/8  22/04/21  22:40:06  22/04/21  22:40:04.090     -1.910     23.90189   -106.95159       -32.34     2.7         2.2             0.0        0.00
   35          Valid   7/8  22/04/21  23:00:08  22/04/21  23:00:06.050     -1.950     23.90198   -106.95152       -15.75     2.0         1.6             0.0        0.00
   36          Valid   5/6  22/04/21  23:20:05  22/04/21  23:20:03.068     -1.932     23.90286   -106.95230       -32.78     7.3         0.7             0.0        0.00
   37          Valid   4/5  22/04/21  23:40:11  22/04/21  23:40:08.403     -2.597     23.90242   -106.95212       -32.78     6.4         0.3             0.0        0.00
   38          Valid   6/7  22/04/22  00:00:07  22/04/22  00:00:04.972     -2.028     23.90189   -106.95170       -32.27     3.7         0.3             0.0        0.00
   39          Valid   7/8  22/04/22  00:20:05  22/04/22  00:20:02.914     -2.086     23.90284   -106.95208       -31.17     1.3         2.2             0.0        0.00
   40          Valid   6/7  22/04/22  00:40:04  22/04/22  00:40:01.806     -2.194     23.90198   -106.95149       -30.92     2.5         0.4             0.0        0.00
   41          Valid   6/6  22/04/22  01:00:04  22/04/22  01:00:01.763     -2.237     23.90417   -106.95316       -32.04     1.2         0.9             0.0        0.00
   42          Valid   9/9  22/04/22  01:20:07  22/04/22  01:20:04.709     -2.291     23.90443   -106.95327       -24.64     1.0         1.2             0.0        0.00
   43          Valid   7/7  22/04/22  01:40:05  22/04/22  01:40:02.659     -2.341     23.90482   -106.95399       -30.81     1.4         0.7             0.0        0.00
   44          Valid   8/8  22/04/22  02:00:07  22/04/22  02:00:04.607     -2.393     23.91312   -106.96349       -29.00     1.2         0.8             0.0        0.00
   45          Valid   6/6  22/04/22  02:20:04  22/04/22  02:20:01.554     -2.446     23.91445   -106.96309       -29.47     1.3         0.2             0.0        0.00
   46          Valid   7/7  22/04/22  02:40:07  22/04/22  02:40:04.504     -2.496     23.91453   -106.96298       -26.11     2.5         0.7             0.0        0.00
   47          Valid   6/6  22/04/22  03:00:08  22/04/22  03:00:05.451     -2.549     23.91448   -106.96294       -33.48     2.1         1.0             0.0        0.00
   48          Valid   7/7  22/04/22  03:20:07  22/04/22  03:20:04.389     -2.611     23.91452   -106.96305       -31.80     1.1         1.8             0.0        0.00
   49          Valid   6/6  22/04/22  03:40:07  22/04/22  03:40:04.339     -2.661     23.91452   -106.96300       -30.80     3.3         0.8             0.0        0.00
   50          Valid   6/6  22/04/22  04:00:04  22/04/22  04:00:01.284     -2.716     23.91451   -106.96297       -30.75     1.8         0.2             0.0        0.00
   51          Valid   6/6  22/04/22  04:20:05  22/04/22  04:20:02.232     -2.768     23.91451   -106.96296       -31.34     1.6         0.4             0.0        0.00
   52          Valid   6/6  22/04/22  04:40:09  22/04/22  04:40:06.184     -2.816     23.91452   -106.96293       -30.25     1.7         0.7             0.0        0.00
   53          Valid   6/6  22/04/22  05:00:04  22/04/22  05:00:01.122     -2.878     23.91451   -106.96299       -28.09     2.1         0.9             0.0        0.00
   54          Valid   6/6  22/04/22  05:20:04  22/04/22  05:20:01.063     -2.937     23.91451   -106.96300       -27.14     1.4         0.4             0.0        0.00
   55          Valid   6/6  22/04/22  05:40:04  22/04/22  05:40:01.010     -2.990     23.91452   -106.96296       -27.88     1.3         0.3             0.0        0.00
   56          Valid   7/7  22/04/22  06:00:05  22/04/22  06:00:01.958     -3.042     23.91449   -106.96302       -28.20     1.1         0.6             0.0        0.00
