Index         Status  Sats  RTC-date  RTC-time  FIX-date      FIX-time   Delta(s)     Latitude    Longitude  Altitude(m)    HDOP        eRes  Temperature(C)  Voltage(V)
    1          Valid   7/7  22/05/05  01:00:04  22/05/05  01:00:05.877      1.877     23.91228   -106.96098       -24.01     1.6         0.6             0.0        0.00
    2          Valid   5/5  22/05/06  12:00:10  22/05/06  12:00:05.997     -4.003     23.92178   -106.96481       -23.91     2.9         0.3             0.0        0.00
    3          Valid   8/8  22/05/06  12:20:04  22/05/06  12:20:00.654     -3.346     23.92205   -106.96470       -25.82     1.0         0.5             0.0        0.00
    4          Valid   7/7  22/05/06  12:40:07  22/05/06  12:40:03.605     -3.395     23.92205   -106.96462       -29.29     1.2         0.6             0.0        0.00
    5          Valid   6/6  22/05/06  13:00:05  22/05/06  13:00:01.543     -3.457     23.92172   -106.96457       -27.14     1.8         1.0             0.0        0.00
    6          Valid   7/9  22/05/06  13:20:06  22/05/06  13:20:02.479     -3.521     23.92286   -106.96971        -2.38     2.3         1.3             0.0        0.00
    7          Valid   7/8  22/05/06  13:40:04  22/05/06  13:40:00.401     -3.599     23.92562   -106.97020       -17.23     2.5         1.2             0.0        0.00
    8          Valid   5/6  22/05/06  14:00:07  22/05/06  14:00:03.385     -3.615     23.92461   -106.97018       -17.26     2.6         0.5             0.0        0.00
    9          Valid   8/9  22/05/06  14:20:04  22/05/06  14:20:00.314     -3.686     23.92538   -106.97031       -29.26     1.1         1.3             0.0        0.00
   10          Valid   8/9  22/05/06  14:40:04  22/05/06  14:40:00.282     -3.718     23.92547   -106.97038       -24.65     1.1         1.4             0.0        0.00
   11          Valid   8/9  22/05/06  15:00:04  22/05/06  15:00:00.234     -3.766     23.92577   -106.97019       -24.25     1.2         1.4             0.0        0.00
   12          Valid   8/9  22/05/06  15:20:04  22/05/06  15:20:00.182     -3.818     23.92575   -106.97026       -27.52     1.3         1.9             0.0        0.00
   13          Valid   7/8  22/05/06  15:40:04  22/05/06  15:40:00.147     -3.853     23.92576   -106.97022       -25.71     1.6         0.6             0.0        0.00
   14          Valid   7/8  22/05/06  16:00:04  22/05/06  16:00:00.105     -3.895     23.92582   -106.97027       -22.50     1.6         1.6             0.0        0.00
   15          Valid   6/7  22/05/06  16:20:04  22/05/06  16:20:00.060     -3.940     23.92588   -106.97029       -25.18     1.6         0.7             0.0        0.00
   16          Valid   5/6  22/05/06  16:40:05  22/05/06  16:40:01.013     -3.987     23.92592   -106.97037       -32.07     3.3         0.8             0.0        0.00
   17          Valid   8/9  22/05/06  17:00:04  22/05/06  16:59:59.998     -4.002     23.92533   -106.97027       -32.31     1.0         0.4             0.0        0.00
   18          Valid   7/8  22/05/06  17:20:04  22/05/06  17:19:59.959     -4.041     23.92728   -106.97086       -30.53     1.1         0.5             0.0        0.00
   19          Valid   6/6  22/05/06  17:40:04  22/05/06  17:39:59.877     -4.123     23.92734   -106.97071       -29.44     1.6         0.8             0.0        0.00
   20          Valid   7/9  22/05/06  18:00:04  22/05/06  17:59:59.865     -4.135     23.92820   -106.97070       -28.70     1.2         0.8             0.0        0.00
   21          Valid   7/9  22/05/06  18:20:04  22/05/06  18:19:59.837     -4.163     23.92814   -106.97077       -24.94     1.2         1.3             0.0        0.00
   22          Valid   7/9  22/05/06  18:40:07  22/05/06  18:40:02.791     -4.209     23.92724   -106.97072       -39.76     1.2         2.9             0.0        0.00
   23          Valid   6/8  22/05/06  19:00:04  22/05/06  18:59:59.728     -4.272     23.92832   -106.97074       -37.75     2.1         0.9             0.0        0.00
   24          Valid   7/9  22/05/06  19:20:04  22/05/06  19:19:59.696     -4.304     23.92818   -106.97072       -30.24     1.4         0.9             0.0        0.00
   25          Valid   6/7  22/05/06  19:40:04  22/05/06  19:39:59.665     -4.335     23.92708   -106.97088       -27.81     1.4         0.7             0.0        0.00
   26          Valid   7/9  22/05/06  20:00:04  22/05/06  19:59:59.598     -4.402     23.92822   -106.97068       -22.79     4.5         0.4             0.0        0.00
   27          Valid   7/8  22/05/06  20:20:04  22/05/06  20:19:59.554     -4.446     23.92837   -106.97070       -23.96     1.1         0.7             0.0        0.00
   28          Valid   5/7  22/05/06  20:40:04  22/05/06  20:39:59.476     -4.524     23.92728   -106.97106       -24.01     1.8         0.3             0.0        0.00
   29          Valid   6/8  22/05/06  21:00:04  22/05/06  20:59:59.498     -4.502     23.92710   -106.97111       -24.63     1.6         0.4             0.0        0.00
   30          Valid   3/4  22/05/06  21:20:10  22/05/06  21:20:04.800     -5.200     23.92836   -106.97071       -24.62     3.0         0.0             0.0        0.00
   31          Valid   7/8  22/05/06  21:40:04  22/05/06  21:40:04.377      0.377     23.92732   -106.97084       -18.37     1.1         0.7             0.0        0.00
   32          Valid   6/7  22/05/06  22:00:04  22/05/06  22:00:04.351      0.351     23.92721   -106.97109       -20.87     2.2         1.0             0.0        0.00
   33          Valid   7/7  22/05/06  22:20:04  22/05/06  22:20:04.258      0.258     23.92715   -106.97114       -21.62     1.4         0.8             0.0        0.00
   34          Valid   8/9  22/05/06  22:40:04  22/05/06  22:40:04.186      0.186     23.92831   -106.97064       -25.76     1.0         1.4             0.0        0.00
   35          Valid   8/9  22/05/06  23:00:04  22/05/06  23:00:04.138      0.138     23.92815   -106.97074       -25.33     0.9         0.9             0.0        0.00
   36          Valid   8/9  22/05/06  23:20:04  22/05/06  23:20:04.148      0.148     23.92728   -106.97104       -26.39     1.0         0.3             0.0        0.00
   37          Valid   8/9  22/05/06  23:40:04  22/05/06  23:40:04.102      0.102     23.92827   -106.97093       -27.92     1.0         0.3             0.0        0.00
   38          Valid   9/9  22/05/07  00:00:04  22/05/07  00:00:04.048      0.048     23.92809   -106.97073       -25.69     1.0         0.6             0.0        0.00
   39          Valid   8/8  22/05/07  00:20:04  22/05/07  00:20:03.962     -0.038     23.92510   -106.97174       -20.81     1.0         1.4             0.0        0.00
   40          Valid   8/8  22/05/07  00:40:04  22/05/07  00:40:03.957     -0.043     23.92516   -106.97254       -21.50     1.0         0.7             0.0        0.00
   41          Valid   8/8  22/05/07  01:00:04  22/05/07  01:00:03.903     -0.097     23.92553   -106.97227       -25.08     1.5         0.9             0.0        0.00
   42          Valid   7/7  22/05/07  01:20:04  22/05/07  01:20:03.813     -0.187     23.92193   -106.96485       -23.90     1.6         1.0             0.0        0.00
   43          Valid   8/8  22/05/07  01:40:04  22/05/07  01:40:03.760     -0.240     23.92237   -106.96446       -25.74     1.2         1.5             0.0        0.00
   44          Valid   8/8  22/05/07  02:00:04  22/05/07  02:00:03.692     -0.308     23.92233   -106.96418       -19.44     1.1         0.6             0.0        0.00
   45          Valid   8/8  22/05/07  02:20:04  22/05/07  02:20:03.642     -0.358     23.92233   -106.96422       -22.95     1.0         0.7             0.0        0.00
   46          Valid   8/8  22/05/07  02:40:04  22/05/07  02:40:03.594     -0.406     23.92235   -106.96419       -28.13     1.0         0.7             0.0        0.00
   47          Valid   7/7  22/05/07  03:00:04  22/05/07  03:00:03.543     -0.457     23.92235   -106.96424       -26.62     1.1         0.4             0.0        0.00
   48          Valid   7/7  22/05/07  03:20:04  22/05/07  03:20:03.492     -0.508     23.92235   -106.96420       -27.07     1.1         0.5             0.0        0.00
   49          Valid   9/9  22/05/07  03:40:04  22/05/07  03:40:03.442     -0.558     23.92237   -106.96425       -26.81     1.1         1.1             0.0        0.00
   50          Valid   6/6  22/05/07  04:00:04  22/05/07  04:00:03.390     -0.610     23.92235   -106.96422       -28.04     1.7         0.8             0.0        0.00
   51          Valid   7/7  22/05/07  04:20:04  22/05/07  04:20:03.334     -0.666     23.92234   -106.96420       -26.48     1.6         0.7             0.0        0.00
   52          Valid   7/7  22/05/07  04:40:04  22/05/07  04:40:03.282     -0.718     23.92234   -106.96427       -26.98     1.1         1.4             0.0        0.00
   53          Valid   9/9  22/05/07  05:00:04  22/05/07  05:00:03.235     -0.765     23.92233   -106.96419       -24.77     0.9         0.9             0.0        0.00
   54          Valid   8/8  22/05/07  05:20:04  22/05/07  05:20:03.183     -0.817     23.92234   -106.96424       -24.89     1.0         1.3             0.0        0.00
   55          Valid   9/9  22/05/07  05:40:04  22/05/07  05:40:03.132     -0.868     23.92233   -106.96421       -20.84     0.9         1.0             0.0        0.00
   56          Valid   7/7  22/05/07  06:00:04  22/05/07  06:00:03.079     -0.921     23.92232   -106.96425       -26.34     1.3         0.5             0.0        0.00
   57          Valid   6/6  22/05/07  06:20:04  22/05/07  06:20:03.016     -0.984     23.92230   -106.96427       -24.28     4.7         0.7             0.0        0.00
   58          Valid   8/8  22/05/07  06:40:04  22/05/07  06:40:02.977     -1.023     23.92234   -106.96418       -23.54     1.5         1.1             0.0        0.00
   59          Valid   7/7  22/05/07  07:00:04  22/05/07  07:00:02.927     -1.073     23.92234   -106.96420       -22.74     1.5         0.4             0.0        0.00
   60          Valid   7/7  22/05/07  07:20:04  22/05/07  07:20:02.872     -1.128     23.92234   -106.96422       -22.19     2.0         0.4             0.0        0.00
   61          Valid   7/7  22/05/07  07:40:04  22/05/07  07:40:02.832     -1.168     23.92231   -106.96420       -22.41     4.5         0.8             0.0        0.00
   62          Valid   7/7  22/05/07  08:00:04  22/05/07  08:00:02.775     -1.225     23.92230   -106.96419       -23.18     2.8         0.4             0.0        0.00
   63          Valid   7/7  22/05/07  08:20:04  22/05/07  08:20:02.715     -1.285     23.92235   -106.96418       -24.38     1.9         0.8             0.0        0.00
