Index         Status  Sats  RTC-date  RTC-time  FIX-date      FIX-time   Delta(s)     Latitude    Longitude  Altitude(m)    HDOP        eRes  Temperature(C)  Voltage(V)
    1          Valid   7/7  22/04/21  13:00:10  22/04/21  12:59:10.510    -59.490     23.91225   -106.96099       -25.22     1.1         1.1             0.0        0.00
    2          Valid   8/9  22/04/25  16:00:10  22/04/25  15:59:58.806    -11.194     23.92093   -106.96198       -27.25     1.2         2.3             0.0        0.00
    3          Valid   7/7  22/04/26  04:00:07  22/04/26  04:00:06.324     -0.676     23.92066   -106.96178       -26.86     1.5         0.4             0.0        0.00
    4          Valid   6/7  22/04/26  16:00:04  22/04/26  16:00:01.960     -2.040     23.92114   -106.96213       -26.40     1.8         0.3             0.0        0.00
    5          Valid   7/7  22/04/27  04:00:06  22/04/27  04:00:02.893     -3.107     23.92161   -106.96443       -26.79     1.7         0.4             0.0        0.00
    6          Valid   5/6  22/04/27  16:00:04  22/04/27  15:59:59.579     -4.421     23.92155   -106.96485       -26.38     3.1         0.8             0.0        0.00
    7          Valid   7/7  22/04/28  04:00:04  22/04/28  03:59:58.459     -5.541     23.92161   -106.96436       -25.83     2.1         0.9             0.0        0.00
    8          Valid   7/8  22/04/28  16:00:04  22/04/28  15:59:57.135     -6.865     23.92188   -106.96482       -25.11     1.6         0.7             0.0        0.00
    9          Valid   6/6  22/04/29  04:00:04  22/04/29  03:59:56.004     -7.996     23.92161   -106.96438       -25.48     5.6         0.5             0.0        0.00
   10          Valid   7/8  22/04/29  16:00:07  22/04/29  15:59:57.698     -9.302     23.92160   -106.96522       -29.79     1.4         1.3             0.0        0.00
   11          Valid   8/8  22/04/30  04:00:07  22/04/30  03:59:56.590    -10.410     23.92163   -106.96431       -22.95     1.6         0.5             0.0        0.00
   12          Valid   8/9  22/04/30  16:00:09  22/04/30  15:59:57.313    -11.687     23.92121   -106.96484       -25.55     1.6         1.3             0.0        0.00
   13          Valid   6/6  22/05/01  04:00:05  22/05/01  03:59:52.183    -12.817     23.92156   -106.96439       -25.75     3.2         0.8             0.0        0.00
   14          Valid   5/6  22/05/01  16:00:06  22/05/01  15:59:51.866    -14.134     23.92072   -106.96571       -25.70     2.1         0.6             0.0        0.00
   15          Valid   7/7  22/05/02  04:00:06  22/05/02  03:59:50.772    -15.228     23.92135   -106.96418       -25.54     1.8         0.8             0.0        0.00
   16          Valid   7/8  22/05/02  16:00:04  22/05/02  15:59:47.401    -16.599     23.92108   -106.96499       -26.16     1.7         0.8             0.0        0.00
   17          Valid   6/6  22/05/03  04:00:04  22/05/03  03:59:46.315    -17.685     23.92134   -106.96421       -26.57     2.2         0.7             0.0        0.00
   18          Valid   6/7  22/05/03  16:00:04  22/05/03  15:59:44.985    -19.015     23.92155   -106.96459       -27.68     1.8         0.5             0.0        0.00
   19          Valid   7/7  22/05/04  04:00:04  22/05/04  03:59:43.854    -20.146     23.92137   -106.96414       -28.18     1.6         0.6             0.0        0.00
   20          Valid   7/8  22/05/04  16:00:04  22/05/04  15:59:42.491    -21.509     23.92144   -106.96436       -27.43     1.7         0.5             0.0        0.00
   21          Valid   4/4  22/05/05  04:00:11  22/05/05  03:59:47.805    -23.195     23.92135   -106.96419       -27.43     2.3         0.1             0.0        0.00
   22          Valid   6/7  22/05/05  16:00:04  22/05/05  16:00:02.990     -1.010     23.92202   -106.96508       -31.13     3.0         0.8             0.0        0.00
   23          Valid   6/6  22/05/06  04:00:04  22/05/06  04:00:01.895     -2.105     23.92137   -106.96426       -31.22     1.7         0.5             0.0        0.00
   24          Valid   5/6  22/05/06  16:00:04  22/05/06  16:00:00.569     -3.431     23.92183   -106.96489       -31.06     3.3         0.5             0.0        0.00
   25          Valid   7/7  22/05/07  04:00:07  22/05/07  04:00:02.523     -4.477     23.92134   -106.96422       -30.74     1.5         0.6             0.0        0.00
   26          Valid   7/8  22/05/07  16:00:09  22/05/07  16:00:03.133     -5.867     23.92202   -106.96483       -29.44     1.6         0.4             0.0        0.00
   27          Valid   6/6  22/05/08  04:00:04  22/05/08  04:00:02.004     -1.996     23.92135   -106.96419       -29.00     3.4         0.9             0.0        0.00
   28          Valid   5/5  22/05/08  16:00:10  22/05/08  16:00:05.998     -4.002     23.92146   -106.96451       -29.21     2.3         0.5             0.0        0.00
   29          Valid   7/7  22/05/09  04:00:04  22/05/09  03:59:59.560     -4.440     23.92107   -106.96452       -28.77     1.4         0.4             0.0        0.00
   30          Valid   6/6  22/05/09  16:00:05  22/05/09  15:59:59.196     -5.804     23.92144   -106.96494       -27.71     2.0         1.5             0.0        0.00
   31          Valid   8/8  22/05/10  04:00:04  22/05/10  03:59:57.074     -6.926     23.92192   -106.96449       -28.24     1.3         0.8             0.0        0.00
   32          Valid   7/8  22/05/10  16:00:09  22/05/10  16:00:00.773     -8.227     23.92163   -106.96535       -29.70     1.9         0.8             0.0        0.00
