Index         Status  Sats  RTC-date  RTC-time  FIX-date      FIX-time   Delta(s)     Latitude    Longitude  Altitude(m)    HDOP        eRes  Temperature(C)  Voltage(V)
    1          Valid   6/6  22/05/06  13:00:04  22/05/06  13:00:04.641      0.641     23.91226   -106.96096       -24.10     1.8         0.7             0.0        0.00
    2          Valid   8/9  22/05/07  16:00:10  22/05/07  16:00:05.998     -4.002     23.91363   -106.96004       -25.75     1.5         1.1             0.0        0.00
    3          Valid   6/6  22/05/08  04:00:04  22/05/08  03:59:58.927     -5.073     23.93151   -106.97512       -33.06     2.0         0.5             0.0        0.00
    4          Valid   7/8  22/05/08  16:00:04  22/05/08  15:59:57.064     -6.936     23.92603   -106.97115       -26.19     1.6         0.7             0.0        0.00
    5          Valid   6/6  22/05/09  04:00:09  22/05/09  04:00:00.401     -8.599     23.91622   -106.96776       -23.67     2.0         2.1             0.0        0.00
    6          Valid   8/9  22/05/09  16:00:04  22/05/09  16:00:01.477     -2.523     23.91836   -106.96631       -23.88     1.6         1.2             0.0        0.00
    7          Valid   6/6  22/05/10  04:00:04  22/05/10  03:59:59.775     -4.225     23.93151   -106.97645       -26.81     1.7         0.8             0.0        0.00
    8          Valid   7/8  22/05/10  16:00:07  22/05/10  16:00:00.883     -6.117     23.92014   -106.96429       -25.56     1.8         0.5             0.0        0.00
    9          Valid   8/8  22/05/11  04:00:06  22/05/11  03:59:58.191     -7.809     23.92985   -106.97671       -23.64     1.3         1.2             0.0        0.00
   10          Valid   7/7  22/05/11  16:00:04  22/05/11  15:59:54.270     -9.730     23.92759   -106.97419       -22.99     1.6         1.5             0.0        0.00
   11          Valid   6/6  22/05/12  04:00:04  22/05/12  03:59:52.593    -11.407     23.93064   -106.98214       -22.79     1.4         0.3             0.0        0.00
   12          Valid   6/7  22/05/12  16:00:04  22/05/12  15:59:50.757    -13.243     23.92015   -106.96448       -22.33     2.0         0.2             0.0        0.00
   13          Valid   9/9  22/05/13  04:00:07  22/05/13  03:59:52.039    -14.961     23.92958   -106.98117       -23.85     1.3         1.1             0.0        0.00
   14          Valid   8/9  22/05/13  16:00:06  22/05/13  15:59:49.138    -16.862     23.92934   -106.98142       -27.71     1.2         0.6             0.0        0.00
   15          Valid   6/6  22/05/14  04:00:05  22/05/14  03:59:46.522    -18.478     23.92925   -106.98051       -28.97     1.6         0.5             0.0        0.00
   16          Valid   6/6  22/05/14  16:00:05  22/05/14  15:59:44.641    -20.359     23.92002   -106.96422       -29.05     1.5         0.5             0.0        0.00
   17          Valid   6/6  22/05/15  04:00:04  22/05/15  03:59:42.035    -21.965     23.93144   -106.97207       -27.23     1.8         0.4             0.0        0.00
   18          Valid   6/7  22/05/15  16:00:05  22/05/15  15:59:41.175    -23.825     23.92016   -106.96440       -26.94     3.3         0.5             0.0        0.00
   19          Valid   6/6  22/05/16  04:00:05  22/05/16  03:59:39.559    -25.441     23.93168   -106.97370       -27.54     1.3         0.7             0.0        0.00
   20          Valid   5/6  22/05/16  16:00:04  22/05/16  15:59:36.657    -27.343     23.92652   -106.97196       -27.05     4.8         0.7             0.0        0.00
   21          Valid   6/7  22/05/17  04:00:08  22/05/17  03:59:39.003    -28.997     23.93195   -106.97322       -26.80     2.0         0.6             0.0        0.00
   22          Valid   6/7  22/05/17  16:00:04  22/05/17  15:59:33.128    -30.872     23.91998   -106.96421       -25.96     2.8         0.7             0.0        0.00
   23          Valid   7/7  22/05/18  04:00:06  22/05/18  03:59:33.469    -32.531     23.93188   -106.97328       -26.76     1.2         0.9             0.0        0.00
   24          Valid   6/7  22/05/18  16:00:04  22/05/18  15:59:29.613    -34.387     23.92006   -106.96436       -26.71     2.1         0.5             0.0        0.00
   25          Valid   7/7  22/05/19  04:00:04  22/05/19  03:59:27.906    -36.094     23.93153   -106.97365       -25.17     1.2         0.9             0.0        0.00
   26          Valid   7/8  22/05/19  16:00:04  22/05/19  15:59:26.014    -37.986     23.92037   -106.96468       -26.15     1.3         0.7             0.0        0.00
   27          Valid   8/8  22/05/20  04:00:04  22/05/20  03:59:24.360    -39.640     23.93197   -106.97397       -27.83     1.0         0.4             0.0        0.00
   28          Valid   6/7  22/05/20  16:00:04  22/05/20  15:59:22.527    -41.473     23.92016   -106.96433       -28.77     2.4         0.7             0.0        0.00
   29          Valid   7/7  22/05/21  04:00:05  22/05/21  03:59:21.765    -43.235     23.93238   -106.97478       -29.55     1.3         0.3             0.0        0.00
   30          Valid   5/6  22/05/21  16:00:04  22/05/21  15:59:18.883    -45.117     23.92020   -106.96442       -28.22     1.9         0.7             0.0        0.00
   31          Valid   8/8  22/05/22  04:00:07  22/05/22  03:59:20.208    -46.792     23.93230   -106.97408       -27.89     0.9         0.8             0.0        0.00
   32          Valid   7/8  22/05/22  16:00:04  22/05/22  15:59:15.333    -48.667     23.92018   -106.96440       -29.84     1.3         0.9             0.0        0.00
   33          Valid   6/6  22/05/23  04:00:09  22/05/23  03:59:18.679    -50.321     23.93298   -106.97490       -24.47     1.2         0.9             0.0        0.00
   34          Valid   6/7  22/05/23  16:00:04  22/05/23  16:00:01.835     -2.165     23.92017   -106.96439       -25.04     1.4         0.8             0.0        0.00
