Index         Status  Sats  RTC-date  RTC-time  FIX-date      FIX-time   Delta(s)     Latitude    Longitude  Altitude(m)    HDOP        eRes  Temperature(C)  Voltage(V)
    2          Valid   5/5  21/05/22  09:00:11  21/05/22  09:00:04.208     -6.792     54.54322      8.91106        40.86     1.6         0.8             0.0        0.00
    3          Valid   7/7  21/05/27  09:00:05  21/05/27  08:59:49.677    -15.323     54.54289      8.91071        37.73     1.7         0.6             0.0        0.00
    4          Valid   6/6  21/06/01  09:00:08  21/06/01  08:59:37.875    -30.125     54.54213      8.91084        38.86     3.6         0.6             0.0        0.00
    5          Valid   8/8  21/06/06  09:00:08  21/06/06  08:59:23.440    -44.560     54.54263      8.91076        47.02     1.2         1.9             0.0        0.00
    6          Valid   9/9  21/06/11  09:00:07  21/06/11  08:59:08.181    -58.819     54.54207      8.91070         8.19     0.9         7.2             0.0        0.00
    7          Valid   6/6  21/06/16  09:00:06  21/06/16  08:58:52.648    -73.352     54.54288      8.91087        36.26     1.3         0.7             0.0        0.00
    8          Valid   9/9  21/06/21  09:00:06  21/06/21  08:58:38.502    -87.498     54.53316      8.90451        36.94     0.9         0.7             0.0        0.00
    9          Valid   7/7  21/06/26  09:00:04  21/06/26  08:58:21.621   -102.379     54.53964      8.90612        36.59     1.3         0.4             0.0        0.00
   10          Valid   7/7  21/07/01  09:00:09  21/07/01  08:58:12.156   -116.844     54.53960      8.90622        37.12     1.4         0.5             0.0        0.00
   11          Valid   6/6  21/07/06  09:00:08  21/07/06  08:59:52.403    -15.597     54.53960      8.90619        36.98     2.0         0.6             0.0        0.00
   12          Valid   8/8  21/07/11  09:00:05  21/07/11  08:59:34.774    -30.226     54.53901      8.91285        37.94     1.0         1.9             0.0        0.00
   13          Valid   9/9  21/07/16  09:00:09  21/07/16  08:59:24.601    -44.399     54.53930      8.91387        40.54     1.1         0.7             0.0        0.00
   14          Valid   6/6  21/07/21  09:00:08  21/07/21  08:59:08.829    -59.171     54.54037      8.89753        38.07     3.0         0.4             0.0        0.00
   15          Valid   6/6  21/07/26  09:00:06  21/07/26  08:58:52.047    -73.953     54.53932      8.89252        38.41     1.3         0.5             0.0        0.00
   16          Valid   7/7  21/07/31  09:00:05  21/07/31  08:58:36.349    -88.651     54.54206      8.87679        37.91     1.2         0.7             0.0        0.00
   17          Valid   8/8  21/08/05  09:00:05  21/08/05  08:58:21.547   -103.453     47.69294     -3.29342        52.78     1.2         1.1             0.0        0.00
   18          Valid   8/8  21/08/10  09:00:04  21/08/10  08:58:05.538   -118.462     47.69073     -3.28469        49.73     1.1         1.1             0.0        0.00
   19          Valid   8/8  21/08/15  09:00:04  21/08/15  08:57:50.599   -133.401     40.64820     -8.66024        52.55     1.2         0.9             0.0        0.00
   20          Valid   9/9  21/08/20  09:00:04  21/08/20  08:57:36.089   -147.911     40.67045     -8.64713        56.55     1.1         1.3             0.0        0.00
