Index         Status  Sats  RTC-date  RTC-time  FIX-date      FIX-time   Delta(s)     Latitude    Longitude  Altitude(m)    HDOP        eRes  Temperature(C)  Voltage(V)
    2          Valid   5/5  21/05/27  09:00:10  21/05/27  09:00:05.400     -4.600     54.54078      8.92951        39.89     3.0         0.3             0.0        0.00
    3          Valid   5/6  21/06/01  09:00:08  21/06/01  08:59:48.557    -19.443     54.54081      8.92945        49.65     3.0         0.9             0.0        0.00
    4          Valid   5/5  21/06/06  09:00:07  21/06/06  08:59:28.270    -38.730     54.54101      8.92966        49.62     2.7         0.1             0.0        0.00
    5          Valid   9/9  21/06/11  09:00:06  21/06/11  08:59:08.885    -57.115     54.54108      8.92975        49.70     1.0         1.0             0.0        0.00
    6          Valid   8/8  21/06/16  09:00:04  21/06/16  08:58:47.737    -76.263     54.54109      8.93044        37.08     1.2         1.0             0.0        0.00
    7          Valid   9/9  21/06/21  09:00:05  21/06/21  08:58:30.063    -94.937     54.53737      8.93289        39.80     0.9         0.9             0.0        0.00
    8          Valid   6/6  21/06/26  09:00:04  21/06/26  08:58:09.583   -114.417     54.54291      8.93513        39.94     2.0         0.5             0.0        0.00
    9          Valid   8/8  21/07/01  09:00:09  21/07/01  08:57:55.740   -133.260     54.53705      8.93326        38.64     1.4         0.7             0.0        0.00
   10          Valid   8/8  21/07/06  09:00:08  21/07/06  08:57:35.673   -152.327     54.53703      8.93335        37.67     1.0         1.5             0.0        0.00
   11          Valid   8/8  21/07/11  09:00:07  21/07/11  08:57:15.765   -171.235     54.53711      8.93321        39.52     1.0         2.2             0.0        0.00
   12          Valid   8/8  21/07/16  09:00:08  21/07/16  08:56:58.144   -189.856     54.53705      8.93330        38.95     1.3         0.5             0.0        0.00
   13          Valid   7/7  21/07/21  09:00:09  21/07/21  08:56:40.044   -208.956     54.54027      8.89710        39.37     1.2         0.4             0.0        0.00
   14          Valid   6/6  21/07/26  09:00:06  21/07/26  08:56:17.871   -228.129     54.53328      8.90728        38.92     1.4         1.3             0.0        0.00
   15          Valid   9/9  21/07/31  09:00:07  21/07/31  08:55:59.702   -247.298     54.46966      8.92326        42.81     0.9         1.1             0.0        0.00
   16          Valid   6/6  21/08/05  09:00:04  21/08/05  08:55:37.439   -266.561     54.53922      8.89047        41.68     2.7         0.6             0.0        0.00
   17          Valid   7/7  21/08/10  09:00:04  21/08/10  08:55:18.011   -285.989     54.53662      8.87082        42.08     1.6         0.8             0.0        0.00
   18          Valid   8/8  21/08/15  09:00:05  21/08/15  08:54:59.685   -305.315     54.53772      8.87529        44.00     1.1         0.7             0.0        0.00
   19          Valid   7/7  21/08/20  09:00:04  21/08/20  08:54:38.961   -325.039     54.53926      8.89154        44.94     1.2         0.6             0.0        0.00
   20          Valid   6/6  21/08/25  09:00:10  21/08/25  08:54:25.664   -344.336     54.50073      8.98471        40.93     2.6         0.7             0.0        0.00
   21          Valid   9/9  21/08/30  09:00:07  21/08/30  08:59:46.996    -20.004     54.50038      8.98598        38.50     0.9         1.4             0.0        0.00
   22          Valid   8/9  21/09/04  09:00:06  21/09/04  08:59:26.595    -39.405     54.53870      8.88889        39.19     1.1         1.6             0.0        0.00
   23          Valid   8/8  21/09/09  09:00:04  21/09/09  08:59:04.956    -59.044     54.24967     -5.68775        56.62     1.1         1.3             0.0        0.00
   24          Valid   8/9  21/09/14  09:00:04  21/09/14  08:58:45.237    -78.763     54.25127     -5.73814        55.89     1.1         0.9             0.0        0.00
   25          Valid   7/8  21/09/19  09:00:04  21/09/19  08:58:25.454    -98.546     54.24515     -5.79345        58.20     1.5         0.5             0.0        0.00
   26          Valid   6/7  21/09/24  09:00:04  21/09/24  08:58:05.853   -118.147     54.25017     -5.69013        49.93     2.2         1.0             0.0        0.00
   27          Valid   6/7  21/09/29  09:00:05  21/09/29  08:57:46.995   -138.005     54.24969     -5.68740        54.68     1.5         0.8             0.0        0.00
   28          Valid   7/8  21/10/04  09:00:04  21/10/04  08:57:26.030   -157.970     54.25260     -5.73325        55.74     1.5         1.1             0.0        0.00
   29          Valid   6/7  21/10/09  09:00:03  21/10/09  08:57:05.007   -177.993     54.25021     -5.68981        57.49     2.8         0.7             0.0        0.00
   30          Valid   8/8  21/10/14  09:00:05  21/10/14  08:56:47.103   -197.897     54.25204     -5.73927        53.22     1.3         2.0             0.0        0.00
   31          Valid   7/8  21/10/19  09:00:04  21/10/19  08:56:26.145   -217.855     54.25334     -5.72913        59.12     2.4         0.6             0.0        0.00
