Index         Status  Sats  RTC-date  RTC-time  FIX-date      FIX-time   Delta(s)     Latitude    Longitude  Altitude(m)    HDOP        eRes  Temperature(C)  Voltage(V)
    4          Valid   6/6  21/05/17  09:00:06  21/05/17  08:59:33.354    -32.646     54.53779      8.88605        39.35     1.4         0.6             0.0        0.00
    5          Valid   6/6  21/05/22  09:00:08  21/05/22  08:59:08.492    -59.508     54.53793      8.88620        37.89     1.6         0.5             0.0        0.00
    6          Valid   4/4  21/05/27  09:00:08  21/05/27  08:58:41.340    -86.660     54.53728      8.88723        37.89     3.1         0.4             0.0        0.00
    7          Valid   5/5  21/06/01  09:00:11  21/06/01  08:58:16.812   -114.188     54.53765      8.88625        38.01     3.0         0.2             0.0        0.00
    8          Valid   8/8  21/06/06  09:00:08  21/06/06  08:59:41.957    -26.043     54.53782      8.88569        43.57     1.6         0.8             0.0        0.00
    9          Valid   6/6  21/06/11  09:00:09  21/06/11  08:59:16.416    -52.584     54.53735      8.88667        40.79     1.5         1.1             0.0        0.00
   10          Valid   6/6  21/06/16  09:00:10  21/06/16  08:59:41.997    -28.003     54.53735      8.88666        41.45     1.4         0.8             0.0        0.00
   11          Valid   7/7  21/06/21  09:00:07  21/06/21  08:59:40.141    -26.859     54.53769      8.88644        40.60     2.0         1.0             0.0        0.00
   12          Valid   7/7  21/06/26  09:00:07  21/06/26  08:59:13.304    -53.696     54.53736      8.88671        42.39     1.3         0.8             0.0        0.00
   13          Valid   7/7  21/07/01  09:00:07  21/07/01  08:58:46.899    -80.101     54.53768      8.88608        42.85     2.6         0.9             0.0        0.00
   14          Valid   6/6  21/07/06  09:00:08  21/07/06  08:58:21.392   -106.608     54.53732      8.88669        30.24     2.1         0.7             0.0        0.00
   15          Valid   7/7  21/07/11  09:00:07  21/07/11  08:57:53.884   -133.116     54.53780      8.88636        41.11     1.3         1.1             0.0        0.00
   16          Valid   7/7  21/07/16  09:00:08  21/07/16  08:57:28.731   -159.269     54.53699      8.88735        37.60     1.3         1.7             0.0        0.00
   17          Valid   8/8  21/07/21  09:00:06  21/07/21  08:57:00.396   -185.604     54.53740      8.88686        34.59     1.1         0.7             0.0        0.00
   18          Valid   6/6  21/07/26  09:00:05  21/07/26  08:56:33.021   -211.979     54.53806      8.88615        38.10     1.8         0.8             0.0        0.00
   19          Valid   5/5  21/07/31  09:00:08  21/07/31  08:56:09.489   -238.511     54.53964      8.87625        38.90     1.7         0.9             0.0        0.00
   20          Valid   6/7  21/08/05  09:00:10  21/08/05  08:55:44.425   -265.575     54.53702      8.88758        45.75     1.6         0.5             0.0        0.00
   21          Valid   6/6  21/08/10  09:00:04  21/08/10  08:55:12.359   -291.641     54.53666      8.87034        38.43     1.5         0.6             0.0        0.00
   22          Valid   8/8  21/08/15  09:00:09  21/08/15  08:54:50.822   -318.178     54.52127      8.85535        40.31     1.6         1.0             0.0        0.00
   23          Valid   9/9  21/08/20  09:00:07  21/08/20  08:54:22.177   -344.823     54.53749      8.88694        31.87     1.1         2.7             0.0        0.00
   24          Valid   8/8  21/08/25  09:00:07  21/08/25  08:53:55.688   -371.312     53.23278     -9.40733        57.16     1.3         0.9             0.0        0.00
   25          Valid   5/6  21/08/30  09:00:09  21/08/30  08:53:31.369   -397.631     53.23230     -9.45039        57.26     2.2         0.4             0.0        0.00
   26          Valid   8/8  21/09/04  09:00:08  21/09/04  08:53:03.490   -424.510     53.23330     -9.40745        57.32     2.2         0.9             0.0        0.00
   27          Valid   5/6  21/09/09  09:00:06  21/09/09  08:52:34.949   -451.051     53.23364     -9.45148        55.34     6.2         0.7             0.0        0.00
   28          Valid   5/6  21/09/14  09:00:04  21/09/14  08:52:06.284   -477.716     53.23305     -9.45072        56.64     2.7         0.5             0.0        0.00
   29          Valid   5/6  21/09/19  09:00:04  21/09/19  08:51:39.609   -504.391     53.23185     -9.45312        56.47     7.4         0.3             0.0        0.00
   30          Valid   8/9  21/09/24  09:00:09  21/09/24  08:51:17.787   -531.213     53.22619     -9.46704        60.41     1.4         1.6             0.0        0.00
   31          Valid   6/7  21/09/29  09:00:05  21/09/29  08:50:46.904   -558.096     53.23281     -9.45163        60.45     2.1         0.5             0.0        0.00
   32          Valid   6/7  21/10/04  09:00:04  21/10/04  08:50:18.869   -585.131     53.23412     -9.41044        58.63     2.6         0.7             0.0        0.00
   33          Valid   7/8  21/10/09  09:00:04  21/10/09  08:49:51.813   -612.187     53.23376     -9.40847        62.21     2.9         0.4             0.0        0.00
   34          Valid   5/6  21/10/14  09:00:06  21/10/14  08:49:26.764   -639.236     53.23196     -9.45118        62.55    10.1         0.2             0.0        0.00
   35          Valid   6/7  21/10/19  09:00:04  21/10/19  08:48:57.615   -666.385     53.23338     -9.40680        62.24     3.4         0.7             0.0        0.00
   36          Valid   7/7  21/10/24  09:00:04  21/10/24  08:48:30.480   -693.520     53.23271     -9.40706        62.66     2.0         0.3             0.0        0.00
   37          Valid   8/9  21/10/29  09:00:04  21/10/29  08:48:03.205   -720.795     53.23227     -9.43073        57.87     1.4         0.8             0.0        0.00
   38          Valid   5/6  21/11/03  09:00:04  21/11/03  08:47:35.942   -748.058     53.23105     -9.43054        51.67     1.9         1.2             0.0        0.00
   39          Valid   8/9  21/11/08  09:00:06  21/11/08  08:47:10.598   -775.402     53.23274     -9.40713        56.30     1.0         1.2             0.0        0.00
   40          Valid   7/8  21/11/13  09:00:08  21/11/13  08:46:45.227   -802.773     53.23230     -9.43186        54.72     1.2         1.1             0.0        0.00
   41          Valid   8/9  21/11/18  09:00:07  21/11/18  08:46:16.923   -830.077     53.23174     -9.40627        56.24     1.3         0.7             0.0        0.00
   42          Valid   8/9  21/11/23  09:00:08  21/11/23  08:45:50.616   -857.384     53.23226     -9.45021        58.00     1.6         0.5             0.0        0.00
   43          Valid   8/9  21/11/28  09:00:04  21/11/28  08:45:19.238   -884.762     53.23436     -9.40747        61.14     1.1         1.6             0.0        0.00
   44          Valid   5/6  21/12/03  09:00:05  21/12/03  08:44:52.918   -912.082     53.23388     -9.41035        61.13     3.1         0.7             0.0        0.00
   45          Valid   8/9  21/12/08  09:00:10  21/12/08  08:44:30.009   -939.991     53.22607     -9.46360        59.86     2.3         0.4             0.0        0.00
   46          Valid   7/7  21/12/13  09:00:04  21/12/13  08:59:36.098    -27.902     53.23226     -9.43168        50.31     1.3         1.6             0.0        0.00
   47          Valid   6/7  21/12/18  09:00:04  21/12/18  08:59:08.764    -55.236     53.23359     -9.40794        51.74     1.8         0.6             0.0        0.00
   48          Valid   6/7  21/12/23  09:00:04  21/12/23  08:58:41.367    -82.633     53.09985     -9.56542        54.29     2.1         0.7             0.0        0.00
   49          Valid   6/7  21/12/28  09:00:05  21/12/28  08:58:14.983   -110.017     53.23272     -9.45146        60.52     1.5         0.6             0.0        0.00
   50          Valid   6/7  22/01/02  09:00:07  22/01/02  08:57:49.694   -137.306     53.23348     -9.40687        53.10     2.8         0.4             0.0        0.00
   51          Valid   5/6  22/01/07  09:00:05  22/01/07  08:57:20.258   -164.742     53.22641     -9.46629        54.85     2.9         0.6             0.0        0.00
   52          Valid   5/6  22/01/12  09:00:05  22/01/12  08:56:52.874   -192.126     53.23284     -9.45217        54.51     4.9         0.4             0.0        0.00
   53          Valid   6/6  22/01/17  09:00:05  22/01/17  08:56:25.494   -219.506     53.23415     -9.41103        53.91     1.3         0.5             0.0        0.00
   54          Valid   6/6  22/01/22  09:00:04  22/01/22  08:55:57.263   -246.737     53.22864     -9.46153        55.11     2.4         0.8             0.0        0.00
   55          Valid   7/8  22/01/27  09:00:06  22/01/27  08:55:31.985   -274.015     53.23401     -9.40694        56.71     1.2         1.2             0.0        0.00
   56          Valid   7/8  22/02/01  09:00:04  22/02/01  08:55:02.613   -301.387     53.23432     -9.41069        55.37     1.2         0.8             0.0        0.00
   57          Valid   6/7  22/02/06  09:00:04  22/02/06  08:54:35.158   -328.842     53.22890     -9.46170        59.36     4.9         0.5             0.0        0.00
   58          Valid   6/7  22/02/11  09:00:04  22/02/11  08:54:07.745   -356.255     53.23383     -9.40723        58.72     1.5         0.5             0.0        0.00
   59          Valid   5/6  22/02/16  09:00:06  22/02/16  08:53:42.350   -383.650     53.23318     -9.40703        58.83     2.6         0.3             0.0        0.00
   60          Valid   8/9  22/02/21  09:00:11  22/02/21  08:53:20.098   -410.902     53.23120     -9.43286        52.27     1.3         1.6             0.0        0.00
   61          Valid   6/7  22/02/26  09:00:05  22/02/26  08:52:46.988   -438.012     54.53796      8.88645       366.21     1.5       -10.4             0.0        0.00
   62          Valid   8/9  22/03/03  09:00:06  22/03/03  08:52:20.407   -465.593     54.54003      8.87721        43.21     1.0         1.1             0.0        0.00
   63          Valid   5/6  22/03/08  09:00:04  22/03/08  08:51:51.033   -492.967     54.53778      8.88628        43.11     1.8         0.4             0.0        0.00
   64          Valid   7/7  22/03/13  09:00:04  22/03/13  08:51:23.627   -520.373     54.53795      8.88618        39.56     1.3         0.9             0.0        0.00
   65          Valid   9/9  22/03/18  09:00:06  22/03/18  08:50:58.217   -547.783     54.53782      8.88590        43.93     0.9         0.5             0.0        0.00
   66          Valid   8/9  22/03/23  09:00:10  22/03/23  08:50:34.401   -575.599     54.54003      8.87613        41.04     1.0         1.7             0.0        0.00
   67          Valid   9/9  22/03/28  09:00:07  22/03/28  08:59:39.775    -27.225     54.53780      8.88598        38.79     0.9         1.3             0.0        0.00
   68          Valid   6/6  22/04/02  09:00:05  22/04/02  08:59:10.298    -54.702     54.53766      8.88615        38.30     2.2         0.3             0.0        0.00
   69          Valid   8/9  22/04/07  09:00:08  22/04/07  08:58:45.832    -82.168     54.53776      8.88612        49.82     1.1         2.0             0.0        0.00
   70          Valid   6/7  22/04/12  09:00:10  22/04/12  08:58:20.502   -109.498     54.53798      8.88619        40.31     2.7         1.2             0.0        0.00
   71          Valid   7/8  22/04/17  09:00:04  22/04/17  08:59:36.267    -27.733     54.53709      8.88793        39.73     1.0         0.4             0.0        0.00
