Index         Status  Sats  RTC-date  RTC-time  FIX-date      FIX-time   Delta(s)     Latitude    Longitude  Altitude(m)    HDOP        eRes  Temperature(C)  Voltage(V)
    2          Valid   7/8  22/05/07  03:40:10  22/05/07  03:40:05.400     -4.600     54.53794      8.88616        39.22     1.1         0.6             0.0        0.00
    3          Valid   4/4  22/05/07  04:00:07  22/05/07  04:00:07.010      0.010     54.53735      8.88691        39.22     2.4         0.2             0.0        0.00
    4          Valid   7/8  22/05/07  04:20:06  22/05/07  04:20:05.929     -0.071     54.53741      8.88690        39.15     1.2         0.2             0.0        0.00
    5          Valid   7/9  22/05/07  04:40:08  22/05/07  04:40:07.936     -0.064     54.53729      8.88675        41.01     1.1         1.2             0.0        0.00
    6          Valid   7/7  22/05/07  05:00:04  22/05/07  05:00:03.899     -0.101     54.53795      8.88614        40.97     1.1         1.1             0.0        0.00
    7          Valid   6/6  22/05/07  05:20:06  22/05/07  05:20:05.859     -0.141     54.53794      8.88615        46.47     1.8         1.2             0.0        0.00
    8          Valid   5/6  22/05/07  05:40:04  22/05/07  05:40:03.836     -0.164     54.53780      8.88602        43.75     6.1         0.6             0.0        0.00
    9          Valid   6/7  22/05/07  06:00:04  22/05/07  06:00:03.748     -0.252     54.53788      8.88591        48.27     1.4         4.4             0.0        0.00
   10          Valid   6/6  22/05/07  06:20:08  22/05/07  06:20:07.747     -0.253     54.53793      8.88617        46.94     1.5         0.4             0.0        0.00
   11          Valid   7/7  22/05/07  06:40:08  22/05/07  06:40:07.715     -0.285     54.53793      8.88620        40.03     1.2         0.6             0.0        0.00
   12          Valid   7/7  22/05/07  07:00:08  22/05/07  07:00:07.671     -0.329     54.53792      8.88618        40.62     1.3         1.1             0.0        0.00
   13          Valid   7/8  22/05/07  07:20:06  22/05/07  07:20:05.597     -0.403     54.53794      8.88613        49.46     1.1         1.1             0.0        0.00
   14          Valid   8/8  22/05/07  07:40:05  22/05/07  07:40:04.598     -0.402     54.53792      8.88611        44.21     1.3         1.1             0.0        0.00
   15          Valid   6/7  22/05/07  08:00:04  22/05/07  08:00:03.558     -0.442     54.53737      8.88673        42.78     1.3         0.8             0.0        0.00
