Index         Status  Sats  RTC-date  RTC-time  FIX-date      FIX-time   Delta(s)     Latitude    Longitude  Altitude(m)    HDOP        eRes  Temperature(C)  Voltage(V)
    2          Valid   4/5  21/06/11  09:00:10  21/06/11  08:59:59.005    -10.995     54.54257      8.91266        35.99     5.7         0.3             0.0        0.00
    3          Valid   6/6  21/06/16  09:00:05  21/06/16  08:59:38.854    -26.146     54.54250      8.91269        36.73     1.6         0.3             0.0        0.00
    4          Valid   7/7  21/06/21  09:00:04  21/06/21  08:59:22.627    -41.373     54.54240      8.91298        43.26     1.4         0.6             0.0        0.00
    5          Valid   6/6  21/06/26  09:00:10  21/06/26  08:59:12.005    -57.995     54.54235      8.91242        41.57     1.4         0.7             0.0        0.00
    6          Valid   6/6  21/07/01  09:00:05  21/07/01  08:59:49.221    -15.779     54.54244      8.91268        38.11     2.6         0.6             0.0        0.00
    7          Valid   7/7  21/07/06  09:00:05  21/07/06  08:59:33.580    -31.420     54.54948      8.91115        37.27     1.0         0.9             0.0        0.00
    8          Valid   6/6  21/07/11  09:00:08  21/07/11  08:59:20.928    -47.072     54.56071      8.92772        38.76     2.7         0.5             0.0        0.00
    9          Valid   6/6  21/07/16  09:00:06  21/07/16  08:59:03.896    -62.104     54.53723      8.88470        39.71     1.8         0.4             0.0        0.00
   10          Valid   8/8  21/07/21  09:00:05  21/07/21  08:58:47.298    -77.702     54.55014      8.90617        44.33     1.1         1.2             0.0        0.00
   11          Valid   6/6  21/07/26  09:00:05  21/07/26  08:58:31.654    -93.346     54.53972      8.89766        41.63     1.7         0.9             0.0        0.00
   12          Valid   6/6  21/07/31  09:00:06  21/07/31  08:58:16.988   -109.012     54.54960      8.90605        40.66     1.3         0.5             0.0        0.00
   13          Valid   9/9  21/08/05  09:00:04  21/08/05  08:57:59.215   -124.785     54.55237      8.91056        41.27     1.0         0.9             0.0        0.00
   14          Valid   8/8  21/08/10  09:00:07  21/08/10  08:57:46.488   -140.512     54.53456      8.87243        39.31     1.0         1.4             0.0        0.00
   15          Valid   9/9  21/08/15  09:00:06  21/08/15  08:57:30.165   -155.835     54.55518      8.84639        39.16     1.0         1.7             0.0        0.00
   16          Valid   6/6  21/08/20  09:00:07  21/08/20  08:57:15.872   -171.128     52.92797      4.79854        48.00     1.2         0.6             0.0        0.00
   17          Valid   7/7  21/08/25  09:00:04  21/08/25  08:56:57.432   -186.568     48.37885     -4.89832        59.66     1.6         1.2             0.0        0.00
   18          Valid   6/6  21/08/30  09:00:05  21/08/30  08:56:43.171   -201.829     48.37890     -4.89792        52.05     1.6         0.7             0.0        0.00
   19          Valid   8/8  21/09/04  09:00:09  21/09/04  08:56:31.902   -217.098     48.37505     -4.90159        47.87     1.1         0.4             0.0        0.00
   20          Valid   7/7  21/09/09  09:00:05  21/09/09  08:59:49.811    -15.189     48.37467     -4.90179        47.23     1.3         0.9             0.0        0.00
   21          Valid   7/7  21/09/14  09:00:04  21/09/14  08:59:33.631    -30.369     48.37416     -4.90255        51.13     1.6         0.7             0.0        0.00
   22          Valid   8/9  21/09/19  09:00:07  21/09/19  08:59:21.440    -45.560     48.37794     -4.89993        47.41     1.2         0.9             0.0        0.00
   23          Valid   7/8  21/09/24  09:00:06  21/09/24  08:59:05.284    -60.716     48.38380     -4.90115        41.79     2.6         1.2             0.0        0.00
   24          Valid   6/7  21/09/29  09:00:04  21/09/29  08:58:48.080    -75.920     48.37419     -4.90251        49.83     1.6         0.9             0.0        0.00
   25          Valid   8/9  21/10/04  09:00:04  21/10/04  08:58:32.705    -91.295     48.37796     -4.89914        53.89     1.5         0.6             0.0        0.00
   26          Valid   8/9  21/10/09  09:00:04  21/10/09  08:58:17.255   -106.745     48.38167     -4.90002        50.34     1.3         0.6             0.0        0.00
   27          Valid   6/7  21/10/14  09:00:05  21/10/14  08:58:02.758   -122.242     48.38633     -4.90121        50.29     7.4         0.9             0.0        0.00
